timestamp,total_time,llm_time,param_time
2025-11-20 19:19:05,15.3195,15.3193,0.0006
2025-11-20 21:43:46,15.5267,15.5265,0.001
2025-11-20 21:44:07,20.6705,20.6704,0.0002
2025-11-20 21:44:25,17.1366,17.1365,0.0002
2025-11-20 21:44:43,16.3327,16.3326,0.0002
2025-11-20 21:45:04,20.5091,20.509,0.0002
2025-11-20 21:45:18,12.3219,12.3218,0.0002
2025-11-20 21:45:34,15.7802,15.7801,0.0002
2025-11-20 21:45:46,11.1077,11.1076,0.0002
2025-11-20 21:46:02,14.1766,14.1765,0.0002
2025-11-20 21:46:16,13.8092,13.8091,0.0002
2025-11-20 21:46:31,13.9693,13.9693,0.0002
2025-11-20 21:46:44,11.4535,11.4534,0.0002
2025-11-20 21:47:02,16.6636,16.6636,0.0003
2025-11-20 21:47:13,10.7535,10.7534,0.0002
2025-11-20 21:47:35,19.9968,19.9967,0.0002
2025-11-20 21:47:53,16.4012,16.4011,0.0002
2025-11-20 21:48:07,12.6686,12.6685,0.0002
2025-11-20 21:48:33,23.8698,23.8698,0.0003
2025-11-20 21:48:50,16.0196,16.0196,0.0004
2025-11-20 21:49:05,13.1427,13.1426,0.0002
2025-11-20 21:49:21,13.833,13.8329,0.0002
2025-11-20 21:49:33,10.8891,10.889,0.0003
2025-11-20 21:49:52,18.0544,18.0544,0.0001
2025-11-20 21:50:21,27.3007,27.3006,0.0004
2025-11-20 21:50:35,12.6676,12.6675,0.0003
2025-11-20 21:50:52,15.5847,15.5846,0.0002
2025-11-20 21:51:12,18.0154,18.0153,0.0005
2025-11-20 21:51:26,12.5333,12.5332,0.0003
2025-11-20 21:51:43,15.1447,15.1446,0.0003
2025-11-20 21:52:01,16.5396,16.5396,0.0002
2025-11-20 21:52:24,20.9601,20.9601,0.0003
2025-11-20 21:52:38,13.0574,13.0573,0.0002
2025-11-20 21:52:50,10.3818,10.3817,0.0001
2025-11-20 21:53:06,13.9793,13.9792,0.0001
2025-11-20 21:53:26,19.469,19.4689,0.0003
2025-11-20 21:53:43,15.1491,15.1491,0.0001
2025-11-20 21:53:58,13.5682,13.5681,0.0003
2025-11-20 21:54:19,19.4241,19.424,0.0003
2025-11-20 21:54:33,12.1948,12.1947,0.0002
2025-11-20 21:54:48,12.865,12.8649,0.0001
2025-11-20 21:55:11,21.8372,21.8371,0.0003
2025-11-20 21:55:24,12.4668,12.4667,0.0003
2025-11-20 21:55:44,18.2257,18.2256,0.0001
2025-11-20 21:56:03,17.0117,17.0116,0.0002
2025-11-20 21:56:19,14.325,14.325,0.0003
2025-11-20 21:56:40,19.0199,19.0198,0.0003
2025-11-20 21:57:10,27.9134,27.9133,0.0002
2025-11-20 21:57:28,16.8551,16.8549,0.0006
2025-11-20 21:57:52,23.2645,23.2644,0.0002
2025-11-20 21:58:13,20.2761,20.276,0.0002
2025-11-20 22:03:38,15.125,15.1249,0.0002
2025-11-20 22:03:57,17.0519,17.0517,0.0002
2025-11-20 22:04:18,19.4064,19.4063,0.0002
2025-11-20 22:04:34,14.3743,14.3742,0.0002
2025-11-20 22:04:49,13.3826,13.3824,0.0002
2025-11-20 22:05:16,25.3283,25.3282,0.0006
2025-11-20 22:05:39,21.6249,21.6248,0.0002
2025-11-20 22:06:02,21.4809,21.4808,0.0002
2025-11-20 22:06:22,17.6729,17.6728,0.0002
2025-11-20 22:06:42,19.1558,19.1558,0.0002
2025-11-20 22:06:59,15.2803,15.2802,0.0005
2025-11-20 22:07:13,12.502,12.5019,0.0002
2025-11-20 22:07:31,16.4795,16.4795,0.0002
2025-11-20 22:07:45,12.5384,12.5382,0.0002
2025-11-20 22:08:10,22.9662,22.9661,0.0002
2025-11-20 22:08:24,13.2094,13.2093,0.0002
2025-11-20 22:09:00,34.5626,34.5625,0.0004
2025-11-20 22:09:17,15.4475,15.4474,0.0003
2025-11-20 22:09:34,15.5903,15.5902,0.0002
2025-11-20 22:09:48,12.2093,12.2092,0.0003
2025-11-20 22:10:02,11.7118,11.7117,0.0003
2025-11-20 22:10:15,11.6844,11.6843,0.0003
2025-11-20 22:10:35,19.6029,19.6028,0.0003
2025-11-20 22:10:49,12.4113,12.4112,0.0002
2025-11-20 22:11:10,18.7496,18.7495,0.0002
2025-11-20 22:11:25,13.749,13.7489,0.0003
2025-11-20 22:11:37,10.7369,10.7368,0.0002
2025-11-20 22:11:50,11.8542,11.8541,0.0005
2025-11-20 22:12:06,14.8901,14.89,0.0002
2025-11-20 22:12:23,15.7469,15.7468,0.0002
2025-11-20 22:12:40,16.321,16.321,0.0002
2025-11-20 22:12:59,16.7451,16.745,0.0002
2025-11-20 22:13:12,12.6376,12.6375,0.0002
2025-11-20 22:13:26,12.0564,12.0563,0.0002
2025-11-20 22:13:41,13.0926,13.0925,0.0002
2025-11-20 22:14:09,25.657,25.6569,0.0002
2025-11-20 22:14:30,19.7074,19.7073,0.0002
2025-11-20 22:14:44,13.2018,13.2017,0.0002
2025-11-20 22:14:57,11.1515,11.1514,0.0002
2025-11-20 22:15:17,18.0589,18.0588,0.0002
2025-11-20 22:15:37,18.1963,18.1962,0.0008
2025-11-20 22:16:00,21.2602,21.2601,0.0002
2025-11-20 22:16:22,20.4429,20.4428,0.0002
2025-11-20 22:16:38,14.3007,14.3006,0.0002
2025-11-20 22:16:52,11.8208,11.8207,0.0002
2025-11-20 22:17:09,15.9528,15.9527,0.0002
2025-11-20 22:17:24,13.7063,13.7062,0.0002
2025-11-20 22:17:40,15.0795,15.0794,0.0002
2025-11-20 22:18:05,22.9461,22.946,0.0002
2025-11-20 22:18:19,13.4901,13.49,0.0002
2025-11-21 09:14:01,29.1192,29.1191,0.001
2025-11-21 09:14:44,15.5,15.4999,0.0002
2025-11-21 09:15:50,53.4494,53.4493,0.0002
